noname,Васильевский Мох,ж/д станция, ж/д станция Васильевский Мох,,
noname,Доронинская,ж/д станция, ж/д станция Доронинская,,
noname,Упа,ж/д станция, ж/д станция Упа,,
noname,Ясеновая,ж/д станция, ж/д станция Ясеновая,53.1497045,38.0300685
noname,Балево,ж/д станция, ж/д станция Балево,54.1186021,36.4287726
noname,Шарапова Охота,ж/д станция, ж/д станция Шарапова Охота,55.040485,37.4776309
noname,Электросталь,ж/д станция, ж/д станция Электросталь,55.786449,38.460945
noname,Серпухов,ж/д станция, ж/д станция Серпухов,54.9347913,37.4514227
noname,Вязьма,ж/д станция, ж/д станция Вязьма,55.1976587,34.3169718
noname,Горбачево,ж/д станция, ж/д станция Горбачево,53.600311,37.1318819
noname,Гагарин,ж/д станция, ж/д станция Гагарин,55.5503599,35.0067407
noname,Осуга,ж/д станция, ж/д станция Осуга,,
noname,Данков,ж/д станция, ж/д станция Данков,53.2583571,39.154518
noname,Яхонтово,ж/д станция, ж/д станция Яхонтово,53.30187,39.03593
noname,Куликово поле,ж/д станция, ж/д станция Куликово поле,53.6235171,38.6753666
noname,Жданка,ж/д станция, ж/д станция Жданка,53.7792303,38.1122748
noname,Ржев-Белорусский,ж/д станция, ж/д станция Ржев-Белорусский,56.271709,34.3102021
noname,Мелихово,ж/д станция, ж/д станция Мелихово,56.2464027,34.2923555
noname,Иваново,ж/д станция, ж/д станция Иваново,57.0174506,40.9797547
noname,5 км,ж/д станция, ж/д станция 5 км,59.8913394,30.396439
noname,Шуя,ж/д станция, ж/д станция Шуя,56.8513095,41.3519739
noname,Акулово,ж/д станция, ж/д станция Акулово,55.502444,36.689462
noname,Красноармейск,ж/д станция, ж/д станция Красноармейск,56.108796,38.136168
noname,Лютово,ж/д станция, ж/д станция Лютово,57.4923892,40.1194376
noname,Горовастица,ж/д станция, ж/д станция Горовастица,57.3720794,33.5149774
noname,Семеновский,ж/д станция, ж/д станция Семеновский,,
noname,Фирово,ж/д станция, ж/д станция Фирово,57.4836,33.7006
noname,Бутылицы,ж/д станция, ж/д станция Бутылицы,55.5064659,41.5066374
noname,Сычёвка,ж/д станция, ж/д станция Сычёвка,55.843391,34.291959
noname,Рождествено,ж/д станция, ж/д станция Рождествено,59.321861,29.947245
noname,Тёмкино,ж/д станция, ж/д станция Тёмкино,55.0826486,35.009834
noname,Бекасово-Сортировочное,ж/д станция, ж/д станция Бекасово-Сортировочное,,
noname,Ремизово,ж/д станция, ж/д станция Ремизово,53.64173,41.12097
noname,Рязановка,ж/д станция, ж/д станция Рязановка,55.147148,39.557796
noname,Тула 2,ж/д станция, ж/д станция Тула 2,54.1692679,37.5566293
noname,Казначеевка,ж/д станция, ж/д станция Казначеевка,54.052725,37.545583
noname,Житово,ж/д станция, ж/д станция Житово,54.715791,39.362614
noname,Лазарево,ж/д станция, ж/д станция Лазарево,43.9150413,39.3209609
noname,Сумароково,ж/д станция, ж/д станция Сумароково,,
noname,Плавск,ж/д станция, ж/д станция Плавск,53.70725,37.3136801
noname,Отрада,ж/д станция, ж/д станция Отрада,,
noname,Товарково,ж/д станция, ж/д станция Товарково,53.689096,38.1716861
noname,Колокша,ж/д станция, ж/д станция Колокша,56.061753,40.184061
noname,Юрьевец,ж/д станция, ж/д станция Юрьевец,56.092741,40.2800509
noname,Ильичёв,ж/д станция, ж/д станция Ильичёв,,
noname,Торфопродукт,ж/д станция, ж/д станция Торфопродукт,55.474492,40.406475
noname,Осаново,ж/д станция, ж/д станция Осаново,,
noname,Переславль,ж/д станция, ж/д станция Переславль,56.7350826,38.8852711
noname,Бригадирская,ж/д станция, ж/д станция Бригадирская,57.9707113,56.2805844
noname,Кораблино,ж/д станция, ж/д станция Кораблино,53.9210472,40.0178934
noname,Хоботово,ж/д станция, ж/д станция Хоботово,53.0726875,40.3837376
noname,Александро-Невская,ж/д станция, ж/д станция Александро-Невская,53.4757809,40.2131643
noname,Шереметьево,ж/д станция, ж/д станция Шереметьево,55.9642064,37.4179037
noname,Новоклёнский,ж/д станция, ж/д станция Новоклёнский,,
noname,Полотняный завод,ж/д станция, ж/д станция Полотняный завод,54.728395,35.9769203
noname,Копытцево (146 км),ж/д станция, ж/д станция Копытцево (146 км),54.6498797,36.1269933
noname,Оршино,ж/д станция, ж/д станция Оршино,60.2490265,29.5749217
noname,Батагово,ж/д станция, ж/д станция Батагово,53.3616965,34.5839308
noname,Усады-Окружные,ж/д станция, ж/д станция Усады-Окружные,55.154787,37.8964559
noname,Непецино,ж/д станция, ж/д станция Непецино,55.213325,38.581896
noname,Малино,ж/д станция, ж/д станция Малино,55.122406,38.1689449
noname,Бавлены,ж/д станция, ж/д станция Бавлены,56.40089,39.563061
noname,Гаврилов Посад,ж/д станция, ж/д станция Гаврилов Посад,56.5667065,40.1209335
noname,Кольчугино,ж/д станция, ж/д станция Кольчугино,56.2906226,39.3832053
noname,Юрьев-Польский,ж/д станция, ж/д станция Юрьев-Польский,56.4845896,39.6687073
noname,Кипрёво,ж/д станция, ж/д станция Кипрёво,56.2391123,38.9951857
noname,Кохма,ж/д станция, ж/д станция Кохма,56.9517385,41.1386162
noname,Горино,ж/д станция, ж/д станция Горино,,
noname,Нерль,ж/д станция, ж/д станция Нерль,56.66385,40.3820201
